Time resolution is 1 ps
          1(              350000): PASS, a:         128, b:         256, c:         960, dout:  128

          1(              400000): PASS, a:         128, b:         256, c:         960, dout:  128

          1(              450000): PASS, a:         128, b:         256, c:         960, dout:  128

          2(              650000): PASS, a:         226, b:         902, c:         797, dout:  948

          2(              700000): PASS, a:         226, b:         902, c:         797, dout:  948

          2(              750000): PASS, a:         226, b:         902, c:         797, dout:  948

          3(              950000): PASS, a:         239, b:         897, c:         199, dout:  725

          3(             1000000): PASS, a:         239, b:         897, c:         199, dout:  725

          3(             1050000): PASS, a:         239, b:         897, c:         199, dout:  725

          4(             1250000): PASS, a:         153, b:         252, c:          36, dout:   63

          4(             1300000): PASS, a:         153, b:         252, c:          36, dout:   63

          4(             1350000): PASS, a:         153, b:         252, c:          36, dout:   63

          5(             1550000): PASS, a:         953, b:         255, c:         933, dout:  240

          5(             1600000): PASS, a:         953, b:         255, c:         933, dout:  240

          5(             1650000): PASS, a:         953, b:         255, c:         933, dout:  240

          6(             1850000): PASS, a:         937, b:         952, c:         794, dout:  113

          6(             1900000): PASS, a:         937, b:         952, c:         794, dout:  113

          6(             1950000): PASS, a:         937, b:         952, c:         794, dout:  113

          7(             2150000): PASS, a:         886, b:          49, c:          36, dout:   81

          7(             2200000): PASS, a:         886, b:          49, c:          36, dout:   81

          7(             2250000): PASS, a:         886, b:          49, c:          36, dout:   81

          8(             2450000): PASS, a:         949, b:         769, c:        1013, dout:  907

          8(             2500000): PASS, a:         949, b:         769, c:        1013, dout:  907

          8(             2550000): PASS, a:         949, b:         769, c:        1013, dout:  907

          9(             2750000): PASS, a:         844, b:         857, c:          90, dout:  964

          9(             2800000): PASS, a:         844, b:         857, c:          90, dout:  964

          9(             2850000): PASS, a:         844, b:         857, c:          90, dout:  964

         10(             3050000): PASS, a:         895, b:          56, c:          21, dout:   89

         10(             3100000): PASS, a:         895, b:          56, c:          21, dout:   89

         10(             3150000): PASS, a:         895, b:          56, c:          21, dout:   89

         11(             3350000): PASS, a:         169, b:          92, c:         861, dout:   54

         11(             3400000): PASS, a:         169, b:          92, c:         861, dout:   54

         11(             3450000): PASS, a:         169, b:          92, c:         861, dout:   54

         12(             3650000): PASS, a:         915, b:         150, c:         833, dout:  243

         12(             3700000): PASS, a:         915, b:         150, c:         833, dout:  243

         12(             3750000): PASS, a:         915, b:         150, c:         833, dout:  243

         13(             3950000): PASS, a:         957, b:        1008, c:          97, dout:  999

         13(             4000000): PASS, a:         957, b:        1008, c:          97, dout:  999

         13(             4050000): PASS, a:         957, b:        1008, c:          97, dout:  999

         14(             4250000): PASS, a:          17, b:         813, c:         229, dout:  769

         14(             4300000
